question,answer
What are common symptoms of flu?,"Fever, chills, sore throat, muscle aches, and fatigue."
How do I treat a sore throat at home?,Gargle with warm salt water and stay hydrated.
What should I do if I have a fever?,"Rest, drink fluids, and take paracetamol if needed."
When should I see a doctor for a cough?,If the cough lasts more than 2 weeks or you cough up blood.
Can I take ibuprofen for a headache?,"Yes, unless advised otherwise by your doctor."
What causes chest pain?,Causes range from heartburn to heart issues — see a doctor immediately.
How can I lower my blood pressure?,"Eat less salt, exercise regularly, and manage stress."
Is it safe to take paracetamol daily?,Only under medical supervision and for short-term use.
How do I know if I have an infection?,"Look for redness, swelling, heat, and pus."
What is the normal body temperature?,Around 98.6°F (37°C).
Can allergies cause a sore throat?,"Yes, especially during allergy season."
What foods help boost immunity?,"Citrus fruits, leafy greens, and yogurt are helpful."
When should I take antibiotics?,Only when prescribed by a healthcare professional.
How do I manage mild anxiety?,"Practice deep breathing, exercise, and limit caffeine."
What is the best way to sleep better?,"Avoid screens before bed, maintain a routine, and reduce noise."
